Date	Open	High	Low	Close	Number of Shares	Number of Trades	Turnover	vwap
11/03/2019	3,1568178	3,2037302	3,1568178	3,1949341	7198947	2923	22969557	3,1907
12/03/2019	3,1372709	3,2398919	3,1372709	3,1734326	8439647	3457	26933090	3,1913
13/03/2019	3,1861381	3,2291411	3,143135	3,2291411	9818184	4019	31397659	3,1979
14/03/2019	3,2271865	3,3298075	3,2271865	3,2731216	8582235	3893	28156811	3,2808
15/03/2019	3,2887591	3,2995098	3,2213224	3,2359826	45278410	5668	146695679	3,2399
18/03/2019	3,2565068	3,2887591	3,2135037	3,2887591	8181860	3471	26724598	3,2663
19/03/2019	3,2789856	3,3210114	3,242824	3,2692122	5943336	2296	19459171	3,2741
20/03/2019	3,2721442	3,2750763	3,2222997	3,2574841	8596715	3061	27967858	3,2533
21/03/2019	3,2643255	3,3425129	3,2633482	3,3425129	8651093	2325	28799375	3,329
22/03/2019	3,3552184	3,3767199	3,3386036	3,3522864	10727283	3635	35990661	3,3551
25/03/2019	3,3327395	3,4001762	3,3327395	3,3669465	7747289	3569	26118619	3,3713
26/03/2019	3,3718332	3,3982215	3,354241	3,3962668	8585032	2828	29097567	3,3893
27/03/2019	3,4109269	3,4109269	3,3669465	3,4109269	7902038	3539	26860197	3,3991
28/03/2019	3,4109269	3,4490433	3,3913801	3,4246097	8188220	2686	28064574	3,4274
29/03/2019	3,4304738	3,4470886	3,3913801	3,4255871	9017322	3681	30864496	3,4228
01/04/2019	3,4255871	3,4500207	3,4158137	3,4461113	7585927	2728	26094916	3,4399
02/04/2019	3,4451339	3,4627261	3,4275418	3,4382925	6475537	2400	22288688	3,442
03/04/2019	3,4461113	3,4783636	3,4255871	3,4695675	8872755	3460	30689172	3,4588
04/04/2019	3,4558847	3,4773863	3,4177683	3,4500207	5530119	2443	19060171	3,4466
05/04/2019	3,4637035	3,4637035	3,4079949	3,4285191	5213423	2047	17869136	3,4275
08/04/2019	3,4207004	3,4490433	3,4177683	3,4353605	5232087	2083	17966638	3,4339
09/04/2019	3,4207004	3,4363379	3,3933348	3,3943121	4572909	1897	15566512	3,4041
10/04/2019	3,3894254	3,413859	3,3884481	3,3913801	4455323	2016	15130077	3,396
11/04/2019	3,4089723	3,4089723	3,3405582	3,3405582	6704194	2080	22453933	3,3492
12/04/2019	3,3356715	3,4089723	3,2525974	3,4050629	13655182	5426	45995221	3,3683
15/04/2019	3,4207004	3,4382925	3,3776973	3,3816067	4316356	2188	14653647	3,3949
16/04/2019	3,3845387	3,3845387	3,3366489	3,3366489	5296889	2215	17729685	3,3472
17/04/2019	3,3493543	3,354241	3,2819177	3,311238	8990199	3746	29693095	3,3028
