Date	Open	High	Low	Close	 Numer_of_Shares	Numbers_of_Trades	Turnover	vwap
11/03/2019	14,245	14,4	14,08	14,2	1394031	2640	19778649	14,1881
12/03/2019	14,23	14,23	13,945	14,085	1866338	3513	26261444	14,0711
13/03/2019	14,06	14,55	14,03	14,55	2120258	3107	30603388	14,4338
14/03/2019	14,58	14,895	14,575	14,69	1296071	2276	19074602	14,7173
15/03/2019	14,695	14,715	14,31	14,31	2012936	2804	28948840	14,3814
18/03/2019	14,375	14,565	14,36	14,565	1291694	2792	18730617	14,5008
19/03/2019	14,595	14,81	14,595	14,72	954677	1834	14038073	14,7045
20/03/2019	14,56	14,675	14,375	14,41	1194989	2586	17275958	14,457
21/03/2019	14,49	14,535	14,23	14,235	1895477	3594	27166250	14,3321
22/03/2019	14,36	14,4	13,835	13,835	1510088	2701	21107420	13,9776
25/03/2019	13,85	13,9	13,71	13,855	1601845	2936	22122207	13,8105
26/03/2019	13,9	14,12	13,875	14,075	1299265	2326	18245165	14,0427
27/03/2019	14,1	14,23	14,02	14,18	1794435	3190	25377231	14,1422
28/03/2019	14,15	14,315	14,09	14,13	1272433	2634	18030413	14,17
29/03/2019	14,295	14,385	14,11	14,28	1272313	1869	18164907	14,2771
01/04/2019	14,39	14,465	14,315	14,465	1265018	2334	18242729	14,4209
02/04/2019	14,475	14,58	14,395	14,46	1044914	2205	15118370	14,4685
03/04/2019	14,53	14,74	14,345	14,345	1405349	2361	20294967	14,4412
04/04/2019	14,35	14,35	14,04	14,22	1609201	2952	22869298	14,2116
05/04/2019	14,225	14,255	14,01	14,15	1944868	3574	27521717	14,1509
08/04/2019	14,21	14,355	14,16	14,355	1382058	2586	19790659	14,3197
09/04/2019	14,37	14,49	14,295	14,375	1565024	3376	22523315	14,3917
10/04/2019	14,45	14,695	14,375	14,61	2530759	4483	36936371	14,595
11/04/2019	14,615	14,62	14,38	14,535	1568552	3290	22813804	14,5445
12/04/2019	14,62	14,665	14,43	14,655	1746329	3530	25506084	14,6055
15/04/2019	14,66	14,66	14,44	14,48	1770081	2852	25668506	14,5013
16/04/2019	14,47	14,53	14,33	14,4	1197190	2564	17261419	14,4183
17/04/2019	14,43	14,495	14,4	14,47	1118163	2165	16171145	14,4622
18/04/2019	14,45	14,54	14,395	14,41	1063662	1543	15353693	14,4347
23/04/2019	14,55	15,025	14,5	14,965	1901222	3265	28293331	14,8817
24/04/2019	14,925	15,055	14,775	15,03	1987615	3580	29764695	14,9751
25/04/2019	15,005	15,02	14,86	15,02	1724762	3197	25855729	14,9909
26/04/2019	14,955	14,995	14,81	14,985	2147249	4006	32098560	14,9487
29/04/2019	14,895	15,04	14,755	14,99	1660019	3367	24824074	14,9541
30/04/2019	14,95	15,035	14,84	14,97	2934627	5166	43854197	14,9437
02/05/2019	14,98	15,105	14,66	14,935	2106234	3425	31372586	14,8951
03/05/2019	14,86	15,01	14,84	14,95	1671873	2440	24988156	14,9462
06/05/2019	14,81	14,865	14,63	14,71	987919	1840	14579865	14,7582
07/05/2019	14,58	14,58	14,15	14,19	2253479	3411	32173998	14,2775
08/05/2019	14,185	14,29	14,025	14,14	1154405	2243	16315776	14,1335
09/05/2019	14,125	14,125	13,835	13,85	1345581	2422	18777930	13,9553
10/05/2019	13,99	14,115	13,895	13,895	1226409	2426	17128143	13,9661
13/05/2019	13,925	14,045	13,71	13,71	1823437	3094	25199381	13,8197
14/05/2019	13,755	14,035	13,67	13,93	1794638	3526	24941468	13,8978
15/05/2019	13,935	14,04	13,76	14	1121410	2224	15604704	13,9153
16/05/2019	13,96	14,175	13,955	14,13	1318421	2562	18587991	14,0987
17/05/2019	14,135	14,285	14,055	14,205	1190608	1854	16890071	14,1861
20/05/2019	14,175	14,53	14,175	14,265	1234690	2698	17676149	14,3163
21/05/2019	14,36	14,455	14,245	14,4	1212142	2263	17437621	14,3858
22/05/2019	14,355	14,47	14,33	14,385	1166559	2538	16781004	14,385
23/05/2019	14,3	14,3	13,93	13,965	2017384	3459	28347690	14,0517
24/05/2019	14,02	14,135	13,965	13,99	1074895	2581	15070436	14,0204
27/05/2019	14,04	14,195	14,04	14,09	342753	922	4833712	14,1026
28/05/2019	14,075	14,13	13,86	13,86	2098677	2044	29199587	13,9133
29/05/2019	13,835	13,87	13,51	13,73	1761609	3879	24113400	13,6883
30/05/2019	13,83	13,88	13,595	13,62	1034190	1668	14122411	13,6555
31/05/2019	13,5	13,5	13,25	13,48	2140433	4041	28709520	13,4129
03/06/2019	13,405	13,52	13,25	13,37	1355414	2400	18153361	13,3932
04/06/2019	13,35	13,505	13,25	13,38	1553333	3160	20775826	13,375
05/06/2019	13,415	13,535	13,315	13,38	1183309	2229	15866179	13,4083
06/06/2019	13,435	13,5	13,335	13,335	1090622	2106	14594807	13,3821
07/06/2019	13,4	13,665	13,4	13,645	1232105	2799	16753899	13,5978
