Date	Open	High	Low	Close	Number of Shares	Number of Trades	Turnover	vwap
11/03/2019	2,12	2,14	2,105	2,13	383078	281	813187	2,1228
12/03/2019	2,155	2,195	2,12	2,135	619638	437	1335834	2,1558
13/03/2019	2,135	2,16	2,13	2,16	400921	316	859745	2,1444
14/03/2019	2,165	2,205	2,15	2,195	930898	471	2029903	2,1806
15/03/2019	2,205	2,225	2,19	2,19	656163	362	1444181	2,2009
18/03/2019	2,205	2,23	2,195	2,21	317580	267	701351	2,2084
19/03/2019	2,21	2,225	2,2	2,21	686971	401	1520878	2,2139
20/03/2019	2,215	2,225	2,21	2,22	619092	387	1372747	2,2174
21/03/2019	2,225	2,25	2,21	2,22	996608	515	2217037	2,2246
22/03/2019	2,235	2,235	2,085	2,095	1314425	767	2829162	2,1524
25/03/2019	2,06	2,08	1,97	2,055	715004	542	1462286	2,0451
26/03/2019	2,08	2,09	2,04	2,055	632354	447	1305488	2,0645
27/03/2019	2,075	2,08	2,01	2,03	464511	322	947783	2,0404
28/03/2019	2,03	2,06	2,015	2,02	282717	234	576125	2,0378
29/03/2019	2,045	2,055	2,02	2,04	399446	317	814324	2,0386
01/04/2019	2,064	2,12	2,058	2,118	480779	321	1005552	2,0915
02/04/2019	2,12	2,178	2,1	2,174	786016	479	1683632	2,142
03/04/2019	2,19	2,302	2,184	2,302	2142705	1019	4828495	2,2535
04/04/2019	2,298	2,382	2,278	2,318	1496834	881	3497208	2,3364
05/04/2019	2,32	2,322	2,27	2,278	881894	559	2026561	2,298
08/04/2019	2,304	2,304	2,256	2,282	416960	283	949138	2,2763
09/04/2019	2,294	2,3	2,23	2,236	508560	361	1147981	2,2573
10/04/2019	2,242	2,254	2,2	2,238	471982	355	1054217	2,2336
11/04/2019	2,22	2,328	2,22	2,316	756073	545	1730859	2,2893
12/04/2019	2,306	2,342	2,288	2,3	1112116	848	2569855	2,3108
15/04/2019	2,284	2,33	2,276	2,296	776411	511	1786013	2,3003
16/04/2019	2,3	2,31	2,262	2,29	596949	393	1359086	2,2767
17/04/2019	2,298	2,328	2,284	2,298	617932	451	1423792	2,3041
18/04/2019	2,29	2,32	2,25	2,304	618219	528	1418657	2,2947
23/04/2019	2,32	2,38	2,3	2,372	1295748	772	3053987	2,3569
24/04/2019	2,39	2,44	2,314	2,334	1395468	767	3305404	2,3687
25/04/2019	2,342	2,39	2,318	2,382	908301	605	2151144	2,3683
26/04/2019	2,368	2,42	2,368	2,41	614405	421	1476631	2,4034
29/04/2019	2,41	2,428	2,36	2,376	651162	478	1552252	2,3838
30/04/2019	2,37	2,382	2,356	2,374	399561	389	947696	2,3718
02/05/2019	2,36	2,396	2,334	2,344	740021	535	1749203	2,3637
03/05/2019	2,33	2,348	2,284	2,312	921974	531	2137665	2,3186
06/05/2019	2,28	2,28	2,202	2,252	714313	507	1602119	2,2429
07/05/2019	2,236	2,268	2,15	2,166	1022578	687	2246247	2,1967
08/05/2019	2,14	2,206	2,12	2,202	723344	491	1574248	2,1763
09/05/2019	2,2	2,2	2,124	2,152	982049	755	2106103	2,1446
10/05/2019	2,18	2,23	2,138	2,14	701999	488	1531386	2,1815
13/05/2019	2,144	2,144	2,04	2,044	819974	615	1705044	2,0794
14/05/2019	2,058	2,11	2,058	2,11	575862	451	1204151	2,091
15/05/2019	2,134	2,14	2,072	2,134	667725	524	1410036	2,1117
16/05/2019	2,14	2,15	2,11	2,136	414009	333	882583	2,1318
17/05/2019	2,13	2,13	2,08	2,106	320335	300	672902	2,1006
20/05/2019	2,11	2,13	2,05	2,088	626175	484	1306299	2,0862
21/05/2019	2,086	2,178	2,084	2,168	551699	504	1184847	2,1476
22/05/2019	2,17	2,21	2,14	2,154	706803	520	1536916	2,1745
23/05/2019	2,144	2,144	2,07	2,088	521716	423	1094723	2,0983
24/05/2019	2,094	2,146	2,094	2,106	507296	419	1075325	2,1197
27/05/2019	2,134	2,134	2,104	2,114	189267	264	400867	2,118
28/05/2019	2,128	2,152	2,108	2,108	889045	436	1881694	2,1165
29/05/2019	2,136	2,136	2,08	2,102	641810	608	1349952	2,1034
30/05/2019	2,13	2,146	2,11	2,118	485546	374	1029826	2,121
31/05/2019	2,074	2,12	2,07	2,118	587706	463	1228859	2,0909
03/06/2019	2,114	2,114	1,933	1,935	1788491	1360	3562429	1,9919
04/06/2019	1,942	1,992	1,84	1,95	1656719	1213	3193417	1,9276
05/06/2019	1,924	1,938	1,874	1,935	1342772	807	2566672	1,9115
06/06/2019	1,951	1,951	1,873	1,899	647433	567	1234450	1,9067
07/06/2019	1,91	1,924	1,872	1,89	922116	715	1748134	1,8958
10/06/2019	1,918	1,97	1,918	1,954	649299	401	1260209	1,9409
11/06/2019	1,96	1,968	1,942	1,954	493606	448	965204	1,9554
12/06/2019	1,942	1,957	1,905	1,933	575270	425	1108933	1,9277
13/06/2019	1,91	1,94	1,902	1,917	416939	333	801109	1,9214
14/06/2019	1,91	1,912	1,857	1,863	531547	406	1000951	1,8831
17/06/2019	1,897	1,897	1,828	1,84	492821	468	908969	1,8444
18/06/2019	1,857	1,904	1,81	1,899	638449	682	1189606	1,8633
19/06/2019	1,907	1,916	1,88	1,9	467695	396	887543	1,8977
20/06/2019	1,914	1,94	1,871	1,898	512486	403	974818	1,9021
21/06/2019	1,905	1,922	1,87	1,88	1139509	422	2147727	1,8848
24/06/2019	1,907	1,917	1,841	1,849	307838	494	574739	1,867
25/06/2019	1,83	1,848	1,818	1,834	397206	411	728936	1,8352
26/06/2019	1,834	1,854	1,82	1,848	337276	392	622756	1,8464
27/06/2019	1,853	1,901	1,842	1,892	491269	497	921064	1,8749
28/06/2019	1,892	1,921	1,874	1,905	548927	557	1046394	1,9063
01/07/2019	1,937	1,968	1,932	1,937	783958	552	1524671	1,9448
02/07/2019	1,947	1,947	1,87	1,892	870933	658	1644836	1,8886
03/07/2019	1,893	1,947	1,884	1,939	642992	465	1237151	1,9241
04/07/2019	1,943	1,988	1,94	1,955	560559	572	1101690	1,9653
05/07/2019	1,968	1,968	1,923	1,93	279199	314	539614	1,9327
08/07/2019	1,918	1,936	1,893	1,908	310982	351	593145	1,9073
09/07/2019	1,887	1,894	1,856	1,885	411300	357	771055	1,8747
10/07/2019	1,866	1,9	1,866	1,888	244676	264	462587	1,8906
11/07/2019	1,91	1,91	1,887	1,896	408194	333	774739	1,898
12/07/2019	1,9	1,94	1,898	1,932	461713	403	889887	1,9274
15/07/2019	1,94	1,962	1,923	1,95	429403	302	835171	1,945
16/07/2019	1,96	1,964	1,942	1,963	418349	403	818124	1,9556
17/07/2019	1,934	1,963	1,913	1,925	520746	464	1003961	1,9279
18/07/2019	1,911	1,911	1,866	1,889	514256	520	969959	1,8861
19/07/2019	1,906	1,911	1,88	1,899	286536	341	544141	1,899
22/07/2019	1,879	1,91	1,875	1,908	163882	273	311534	1,901
23/07/2019	1,909	1,934	1,909	1,925	369392	356	711243	1,9254
24/07/2019	1,925	1,925	1,89	1,908	376522	323	716397	1,9027
25/07/2019	1,919	1,931	1,88	1,904	528087	460	1007292	1,9074
26/07/2019	1,9	1,901	1,882	1,901	281527	286	532772	1,8924
29/07/2019	1,9	1,904	1,878	1,881	166177	251	313890	1,8889
30/07/2019	1,865	1,867	1,804	1,816	579973	487	1060209	1,828
31/07/2019	1,819	1,836	1,804	1,825	275644	234	502179	1,8218
01/08/2019	1,8	1,83	1,8	1,825	409305	287	745353	1,821
02/08/2019	1,8	1,8	1,725	1,738	923754	568	1614611	1,7479
05/08/2019	1,705	1,705	1,64	1,657	861692	580	1430085	1,6596
06/08/2019	1,662	1,729	1,655	1,687	733225	526	1242723	1,6949
07/08/2019	1,69	1,713	1,65	1,665	376109	335	633210	1,6836
08/08/2019	1,676	1,742	1,674	1,742	629023	439	1081913	1,72
09/08/2019	1,753	1,778	1,712	1,712	437898	324	759108	1,7335
12/08/2019	1,71	1,746	1,667	1,683	666083	366	1132032	1,6995
13/08/2019	1,685	1,818	1,678	1,817	1075063	718	1903948	1,771
14/08/2019	1,83	1,849	1,766	1,781	720402	683	1293091	1,795
15/08/2019	1,785	1,802	1,726	1,778	394838	447	697653	1,7669
16/08/2019	1,79	1,863	1,79	1,857	527585	431	966948	1,8328
19/08/2019	1,88	1,919	1,859	1,88	1031514	591	1956411	1,8966
