Date	Open	High	Low	Close	Number of Shares	Number of Trades	Turnover	vwap
11/03/2019	5,395	5,425	5,355	5,385	480118	591	2588015	5,3904
12/03/2019	5,4	5,485	5,395	5,425	494050	579	2692469	5,4498
13/03/2019	5,455	5,455	5,4	5,4	1210101	1019	6549857	5,4127
14/03/2019	5,39	5,6	5,38	5,54	2142433	978	11773848	5,4956
15/03/2019	5,54	5,555	5,49	5,52	1308480	626	7223898	5,5208
18/03/2019	5,52	5,65	5,515	5,645	529460	519	2966338	5,6026
19/03/2019	5,645	5,68	5,615	5,655	548459	702	3097144	5,647
20/03/2019	5,655	5,7	5,6	5,625	516355	668	2912641	5,6408
21/03/2019	5,64	5,67	5,565	5,63	499257	642	2808195	5,6247
22/03/2019	5,63	5,635	5,515	5,59	763195	781	4264939	5,5883
25/03/2019	5,59	5,63	5,535	5,56	455233	538	2536887	5,5727
26/03/2019	5,62	5,67	5,58	5,665	699098	564	3949832	5,6499
27/03/2019	5,685	5,695	5,615	5,645	358403	536	2024657	5,6491
28/03/2019	5,615	5,74	5,61	5,655	410992	522	2329928	5,669
29/03/2019	5,7	5,705	5,625	5,7	914539	811	5199568	5,6855
01/04/2019	5,7	5,78	5,7	5,78	1094692	1125	6294933	5,7504
02/04/2019	5,8	5,915	5,775	5,91	1096899	1277	6449963	5,8802
03/04/2019	5,94	5,995	5,905	5,995	943527	1166	5616779	5,953
04/04/2019	6	6,02	5,975	6,01	601707	823	3611939	6,0028
05/04/2019	6	6,005	5,92	5,98	718937	1139	4296566	5,9763
08/04/2019	5,95	5,975	5,905	5,95	523813	541	3111808	5,9407
09/04/2019	5,94	5,995	5,915	5,935	414983	592	2465459	5,9411
10/04/2019	5,93	6,025	5,865	5,99	704028	846	4207013	5,9756
11/04/2019	5,99	6,12	5,95	6,1	864728	899	5240129	6,0599
12/04/2019	6,1	6,13	6,055	6,105	566080	730	3448817	6,0925
15/04/2019	6,115	6,13	6,08	6,09	640924	899	3909570	6,0999
16/04/2019	6,11	6,11	6,045	6,09	368975	567	2242275	6,077
17/04/2019	6,085	6,09	6,01	6,02	449510	724	2711801	6,0328
18/04/2019	6,03	6,04	5,985	6,01	326623	363	1963518	6,0116
23/04/2019	6,01	6,015	5,93	5,97	473708	657	2830277	5,9747
24/04/2019	5,96	5,995	5,96	5,975	413012	505	2467695	5,9749
25/04/2019	5,99	5,995	5,94	5,97	416907	675	2488221	5,9683
26/04/2019	5,99	6,035	5,965	6,03	664043	854	3993891	6,0145
29/04/2019	6,025	6,05	5,96	5,975	317319	560	1896584	5,9769
30/04/2019	6	6	5,95	5,985	717730	769	4289494	5,9765
02/05/2019	5,97	6,005	5,94	5,955	314056	428	1872955	5,9638
