Date	Open	High	Low	Close	Number of Shares	Number of Trades	Turnover	vwap
11/03/2019	2,51	2,51	2,5	2,51	4979	14	12489	2,5084
12/03/2019	2,51	2,54	2,51	2,53	8047	16	20353	2,5292
13/03/2019	2,53	2,53	2,51	2,52	2976	5	7501	2,5206
14/03/2019	2,52	2,53	2,5	2,52	10939	13	27505	2,5144
15/03/2019	2,51	2,52	2,51	2,51	22613	28	56784	2,5111
18/03/2019	2,51	2,55	2,51	2,55	11652	10	29598	2,5402
19/03/2019	2,57	2,57	2,54	2,56	5012	7	12762	2,5463
20/03/2019	2,56	2,56	2,52	2,52	1589	4	4054	2,5515
21/03/2019	2,55	2,58	2,55	2,55	13653	19	34885	2,5551
22/03/2019	2,55	2,55	2,49	2,53	15159	50	38216	2,521
25/03/2019	2,53	2,54	2,5	2,51	7186	13	18039	2,5102
26/03/2019	2,52	2,52	2,52	2,52	398	3	1003	2,52
27/03/2019	2,52	2,52	2,51	2,51	4642	3	11676	2,5154
28/03/2019	2,52	2,52	2,49	2,5	4002	11	10005	2,5001
29/03/2019	2,5	2,5	2,48	2,5	4870	8	12142	2,4933
01/04/2019	2,48	2,52	2,48	2,52	5099	19	12704	2,4914
02/04/2019	2,52	2,52	2,49	2,5	1990	11	5005	2,5152
03/04/2019	2,5	2,52	2,49	2,49	3936	17	9818	2,4945
04/04/2019	2,49	2,51	2,49	2,49	4880	8	12198	2,4996
05/04/2019	2,48	2,51	2,47	2,48	1769	9	4421	2,4992
08/04/2019	2,47	2,47	2,47	2,47	148	2	366	2,47
09/04/2019	2,47	2,51	2,47	2,49	3712	6	9312	2,5087
10/04/2019	2,51	2,51	2,48	2,49	2581	8	6456	2,5015
11/04/2019	2,51	2,53	2,5	2,5	4800	10	12105	2,5219
12/04/2019	2,51	2,53	2,48	2,53	12997	14	32622	2,51
15/04/2019	2,53	2,53	2,49	2,49	4257	11	10609	2,4921
16/04/2019	2,49	2,53	2,49	2,49	8911	25	22206	2,4919
17/04/2019	2,5	2,52	2,48	2,48	1128	11	2822	2,5017
18/04/2019	2,48	2,52	2,48	2,52	557	3	1401	2,5159
23/04/2019	2,48	2,5	2,47	2,5	2113	5	5262	2,4904
24/04/2019	2,5	2,53	2,48	2,5	8330	17	20828	2,5003
25/04/2019	2,52	2,52	2,52	2,52	500	1	1260	2,52
26/04/2019	2,52	2,52	2,48	2,5	1446	11	3634	2,513
29/04/2019	2,51	2,52	2,49	2,52	1719	5	4306	2,5051
30/04/2019	2,53	2,53	2,49	2,5	18422	19	46313	2,514
02/05/2019	2,49	2,5	2,48	2,48	9613	16	23915	2,4878
03/05/2019	2,48	2,5	2,48	2,49	2860	8	7128	2,4921
06/05/2019	2,49	2,52	2,49	2,52	2240	9	5594	2,4975
07/05/2019	2,5	2,55	2,5	2,53	11321	17	28650	2,5307
08/05/2019	2,53	2,55	2,5	2,51	18058	19	45867	2,54
09/05/2019	2,53	2,53	2,49	2,52	4175	14	10524	2,5207
10/05/2019	2,51	2,51	2,51	2,51	6693	16	16799	2,51
13/05/2019	2,54	2,54	2,5	2,51	3835	15	9662	2,5195
14/05/2019	2,49	2,5	2,48	2,5	8378	12	20839	2,4874
15/05/2019	2,52	2,52	2,48	2,51	7360	5	18519	2,5162
16/05/2019	2,51	2,51	2,47	2,47	870	3	2159	2,4815
17/05/2019	2,47	2,5	2,45	2,45	5896	11	14577	2,4723
20/05/2019	2,48	2,49	2,39	2,39	11877	24	28995	2,4412
21/05/2019	2,42	2,43	2,39	2,43	12056	16	29269	2,4278
22/05/2019	2,41	2,45	2,36	2,4	7244	20	17429	2,406
23/05/2019	2,4	2,4	2,35	2,36	1737	11	4157	2,3934
24/05/2019	2,37	2,4	2,35	2,35	26032	29	61926	2,3788
27/05/2019	2,51	2,51	2,38	2,42	15329	45	37049	2,4169
28/05/2019	2,43	2,43	2,39	2,4	17096	46	41238	2,4121
29/05/2019	2,42	2,44	2,38	2,4	69036	63	166475	2,4114
30/05/2019	2,3	2,31	2,25	2,29	10404	46	23704	2,2784
31/05/2019	2,3	2,3	2,23	2,28	39781	27	90795	2,2824
03/06/2019	2,22	2,24	2,13	2,13	38003	56	83433	2,1954
04/06/2019	2,14	2,22	2,14	2,19	3111	13	6750	2,1697
05/06/2019	2,23	2,23	2,19	2,19	4381	11	9681	2,2099
07/06/2019	2,19	2,24	2,19	2,2	9445	17	21041	2,2277
10/06/2019	2,2	2,25	2,2	2,25	3855	12	8602	2,2315
11/06/2019	2,25	2,29	2,25	2,27	9867	16	22323	2,2624
12/06/2019	2,23	2,28	2,23	2,28	3022	5	6784	2,245
13/06/2019	2,24	2,4	2,24	2,4	13277	17	30793	2,3193
14/06/2019	2,4	2,41	2,3	2,31	9531	20	22392	2,3494
17/06/2019	2,29	2,31	2,24	2,27	12138	25	27520	2,2672
18/06/2019	2,31	2,32	2,29	2,31	3009	10	6952	2,3104
19/06/2019	2,31	2,31	2,25	2,25	5169	11	11737	2,2706
20/06/2019	2,31	2,34	2,26	2,28	31078	27	71491	2,3004
21/06/2019	2,29	2,29	2,25	2,25	17664	40	40055	2,2676
24/06/2019	2,27	2,3	2,25	2,25	13322	15	29993	2,2514
25/06/2019	2,29	2,34	2,29	2,34	19534	47	45454	2,3269
26/06/2019	2,34	2,37	2,32	2,36	971	11	2277	2,3447
28/06/2019	2,36	2,4	2,36	2,4	1750	4	4190	2,3943
01/07/2019	2,31	2,39	2,31	2,32	12524	40	29203	2,3318
02/07/2019	2,36	2,36	2,32	2,32	5698	6	13237	2,3232
03/07/2019	2,32	2,36	2,3	2,3	2611	9	6068	2,3239
04/07/2019	2,36	2,36	2,31	2,34	2130	5	4925	2,3122
05/07/2019	2,3	2,36	2,3	2,36	5350	7	12311	2,3011
08/07/2019	2,3	2,38	2,3	2,38	4889	12	11422	2,3363
10/07/2019	2,32	2,32	2,32	2,32	158	2	367	2,32
11/07/2019	2,32	2,37	2,32	2,34	8417	10	19856	2,359
12/07/2019	2,34	2,39	2,32	2,32	2117	7	4966	2,346
15/07/2019	2,38	2,38	2,35	2,35	1643	7	3889	2,3672
16/07/2019	2,33	2,37	2,33	2,37	6557	17	15438	2,3544
17/07/2019	2,36	2,37	2,36	2,37	1403	7	3312	2,3606
18/07/2019	2,37	2,37	2,33	2,35	1403	8	3271	2,3318
19/07/2019	2,32	2,35	2,32	2,34	2131	7	4956	2,3256
22/07/2019	2,32	2,32	2,32	2,32	1089	5	2526	2,32
23/07/2019	2,36	2,38	2,36	2,37	4586	13	10874	2,3712
24/07/2019	2,38	2,4	2,3	2,32	20927	36	49344	2,3579
25/07/2019	2,33	2,37	2,33	2,37	11247	22	26399	2,3472
26/07/2019	2,66	2,78	2,61	2,69	146080	260	390679	2,6744
29/07/2019	2,61	2,73	2,61	2,67	36274	66	97551	2,6893
30/07/2019	2,67	2,68	2,62	2,64	12704	25	33671	2,6504
31/07/2019	2,64	2,71	2,64	2,67	27922	59	74721	2,6761
01/08/2019	2,69	2,69	2,62	2,65	21394	21	56295	2,6313
02/08/2019	2,63	2,63	2,55	2,6	16757	27	43547	2,5987
05/08/2019	2,55	2,63	2,55	2,62	31676	55	82147	2,5934
06/08/2019	2,55	2,62	2,55	2,61	2432	14	6304	2,5922
07/08/2019	2,61	2,61	2,58	2,58	5108	7	13313	2,6064
08/08/2019	2,57	2,63	2,57	2,62	4844	18	12566	2,5942
09/08/2019	2,63	2,71	2,63	2,65	34409	51	91876	2,6701
12/08/2019	2,71	2,71	2,66	2,7	14110	27	37784	2,6778
13/08/2019	2,66	2,66	2,6	2,64	17574	16	46427	2,6418
14/08/2019	2,67	2,67	2,67	2,67	8000	7	21360	2,67
15/08/2019	2,7	2,7	2,64	2,64	3110	4	8375	2,6931
19/08/2019	2,66	2,72	2,66	2,7	19873	20	53551	2,6946
20/08/2019	2,72	2,72	2,68	2,68	3220	5	8662	2,6899
21/08/2019	2,77	2,84	2,76	2,77	43506	48	121179	2,7853
22/08/2019	2,81	2,9	2,81	2,84	16031	35	45917	2,8643
23/08/2019	2,88	2,89	2,83	2,86	8290	16	23697	2,8585
26/08/2019	2,83	2,9	2,8	2,87	14374	23	40823	2,8401
27/08/2019	2,89	2,92	2,84	2,87	7639	19	21948	2,8731
28/08/2019	2,87	2,87	2,82	2,87	8529	15	24322	2,8517
29/08/2019	2,9	2,92	2,83	2,83	6447	25	18708	2,9019
30/08/2019	2,83	2,97	2,83	2,91	15337	35	44312	2,8892
02/09/2019	2,9	2,91	2,86	2,87	3643	7	10527	2,8897
04/09/2019	2,88	2,9	2,84	2,84	21702	37	62209	2,8665
05/09/2019	2,85	2,88	2,84	2,84	3902	10	11155	2,8587
06/09/2019	2,83	2,84	2,77	2,78	17650	47	49506	2,8048
09/09/2019	2,85	2,85	2,8	2,81	8101	24	22691	2,801
10/09/2019	2,82	2,83	2,8	2,83	10506	10	29464	2,8044
11/09/2019	2,82	2,85	2,79	2,8	13820	25	38791	2,8069
12/09/2019	2,8	2,85	2,8	2,8	10730	12	30085	2,8038
13/09/2019	2,82	2,86	2,8	2,81	15076	25	42506	2,8195
16/09/2019	2,81	2,81	2,79	2,79	735	3	2063	2,8063
17/09/2019	2,81	2,81	2,81	2,81	1288	5	3619	2,81
18/09/2019	2,81	2,81	2,8	2,81	11035	6	30991	2,8084
19/09/2019	2,8	2,8	2,8	2,8	8640	7	24192	2,8
20/09/2019	2,8	2,81	2,78	2,81	2885	6	8070	2,7972
23/09/2019	2,8	2,86	2,8	2,85	13995	24	39863	2,8484
24/09/2019	2,85	2,85	2,82	2,83	6100	11	17357	2,8454
25/09/2019	2,85	2,85	2,81	2,82	19858	20	56175	2,8288
26/09/2019	2,82	2,86	2,82	2,85	5030	6	14335	2,85
27/09/2019	2,87	2,9	2,86	2,9	17572	16	50562	2,8774
30/09/2019	2,9	2,9	2,86	2,86	10507	18	30342	2,8878
01/10/2019	2,87	2,87	2,79	2,79	24119	27	68517	2,8408
02/10/2019	2,77	2,82	2,75	2,79	9257	25	25741	2,7807
03/10/2019	2,8	2,81	2,73	2,75	3528	9	9771	2,7696
04/10/2019	2,75	2,81	2,75	2,78	3831	9	10701	2,7933
07/10/2019	2,8	2,8	2,76	2,76	23501	16	65534	2,7886
08/10/2019	2,78	2,8	2,76	2,78	17895	23	49663	2,7753
09/10/2019	2,76	2,83	2,76	2,78	44614	31	123938	2,778
10/10/2019	2,65	2,65	2,46	2,56	28712	62	72850	2,5373
11/10/2019	2,57	2,6	2,56	2,57	50943	23	130753	2,5667
14/10/2019	2,55	2,56	2,4	2,49	23786	36	58439	2,4568
15/10/2019	2,5	2,5	2,4	2,44	45618	37	111915	2,4533
16/10/2019	2,44	2,47	2,43	2,45	2777	17	6784	2,4431
17/10/2019	2,45	2,47	2,45	2,47	10156	9	24896	2,4513
18/10/2019	2,44	2,47	2,44	2,45	3383	6	8329	2,4619
21/10/2019	2,46	2,49	2,43	2,49	8160	16	20099	2,4631
22/10/2019	2,49	2,57	2,46	2,57	21166	22	52890	2,4988
23/10/2019	2,51	2,55	2,5	2,55	3105	5	7773	2,5033
24/10/2019	2,52	2,57	2,52	2,55	3303	11	8447	2,5574
25/10/2019	2,56	2,56	2,55	2,56	5152	10	13150	2,5524
28/10/2019	2,56	2,56	2,51	2,51	12805	28	32494	2,5376
29/10/2019	2,5	2,52	2,5	2,5	8388	16	21067	2,5116
30/10/2019	2,52	2,52	2,5	2,5	2543	6	6384	2,5103
31/10/2019	2,5	2,52	2,5	2,51	7160	8	17931	2,5043
01/11/2019	2,52	2,52	2,49	2,49	2490	11	6237	2,5046
04/11/2019	2,52	2,52	2,51	2,51	3637	8	9164	2,5195
05/11/2019	2,7	2,8	2,66	2,7	75279	78	204275	2,7136
06/11/2019	2,69	2,73	2,67	2,69	17700	40	47787	2,6998
07/11/2019	2,72	2,72	2,69	2,71	23926	45	64795	2,7081
08/11/2019	2,73	2,81	2,72	2,79	66131	161	183469	2,7743
11/11/2019	2,81	2,81	2,75	2,75	3534	13	9873	2,7938
12/11/2019	2,76	2,79	2,73	2,76	12642	21	34847	2,7565
13/11/2019	2,8	2,84	2,78	2,78	5029	9	14155	2,8147
14/11/2019	2,89	2,93	2,82	2,87	60895	67	174780	2,8702
15/11/2019	2,88	2,9	2,85	2,85	13852	27	39923	2,8821
18/11/2019	2,9	2,9	2,84	2,87	9859	16	28346	2,8751
19/11/2019	2,87	2,9	2,85	2,87	9621	18	27589	2,8676
20/11/2019	2,9	2,92	2,87	2,87	15269	25	44140	2,8908
21/11/2019	2,88	2,89	2,87	2,89	11755	21	33859	2,8804
22/11/2019	2,75	2,77	2,72	2,77	6952	77	19111	2,749
25/11/2019	2,78	2,88	2,78	2,84	17135	19	48628	2,838
26/11/2019	2,84	2,86	2,84	2,85	7320	11	20899	2,855
27/11/2019	2,85	2,87	2,82	2,82	7002	15	19922	2,8452
28/11/2019	2,82	2,83	2,81	2,83	5180	6	14565	2,8119
29/11/2019	2,76	2,84	2,76	2,82	11062	16	30940	2,7969
02/12/2019	2,87	2,87	2,8	2,82	6777	15	19125	2,8221
03/12/2019	2,81	2,82	2,78	2,78	3039	9	8541	2,8104
04/12/2019	2,8	2,8	2,76	2,78	5415	18	15079	2,7846
05/12/2019	2,8	2,8	2,76	2,78	6444	9	17906	2,7787
06/12/2019	2,8	2,8	2,77	2,79	4152	8	11558	2,7838
09/12/2019	2,81	2,81	2,76	2,76	7728	12	21563	2,7903
10/12/2019	2,76	2,77	2,75	2,75	9334	17	25707	2,7541
11/12/2019	2,75	2,76	2,74	2,76	13265	18	36511	2,7524
12/12/2019	2,76	2,76	2,75	2,76	5270	10	14503	2,7519
13/12/2019	2,78	2,78	2,74	2,75	5262	12	14480	2,7519
16/12/2019	2,77	2,77	2,74	2,74	1926	6	5285	2,7439
17/12/2019	2,71	2,72	2,67	2,68	15437	27	41783	2,7067
18/12/2019	2,7	2,7	2,55	2,6	44250	135	116011	2,6217
19/12/2019	2,6	2,6	2,49	2,55	31310	115	79713	2,5459
20/12/2019	2,56	2,59	2,52	2,56	9075	14	23146	2,5506
23/12/2019	2,51	2,54	2,51	2,52	2607	10	6581	2,5242
24/12/2019	2,55	2,58	2,54	2,56	852	4	2173	2,551
